n,gender,tournament,era,best_strategy,best_aw_mae,best_exact_pct,best_outcome_pct,Plan05_aw,ExpA_aw,ExpB_aw,ExpC_aw,ExpD_aw
348,W,UEFA Euro qualification,2015-2018,ExpB,2.578797527577254,11.781609195402298,76.4367816091954,2.6161744346859668,2.5794277922379307,2.578797527577254,2.5794277922379307,2.5794277922379307
346,M,CONCACAF Nations League,2019-2022,ExpC,2.3866345431042806,12.716763005780345,62.42774566473989,2.4352341676002904,2.4352341676002904,2.4352341676002904,2.3866345431042806,2.4352341676002904
344,W,FIFA World Cup qualification,2015-2018,Plan01,2.2941193026277307,14.244186046511627,72.96511627906976,2.2941193026277307,2.2941193026277307,2.2941193026277307,2.2941193026277307,2.2941193026277307
328,M,UEFA Euro qualification,2015-2018,Plan01,2.007347898258635,13.109756097560975,64.63414634146342,2.007347898258635,2.007347898258635,2.007347898258635,2.007347898258635,2.007347898258635
310,W,Friendly,2015-2018,Plan01,2.1937185449092054,10.32258064516129,72.90322580645162,2.1937185449092054,2.1937185449092054,2.1937185449092054,2.1937185449092054,2.1937185449092054
276,M,UEFA Nations League,2015-2018,Plan01,2.106615653664439,21.014492753623188,57.608695652173914,2.106615653664439,2.106615653664439,2.106615653664439,2.106615653664439,2.106615653664439
208,M,African Cup of Nations,2019-2022,Plan01,2.018896965624724,13.461538461538462,50.0,2.018896965624724,2.018896965624724,2.018896965624724,2.0196780486188874,2.018896965624724
208,M,African Cup of Nations,2023-2026,ExpA,2.053680165353363,15.865384615384615,54.32692307692307,2.1022503810668,2.053680165353363,2.053680165353363,2.053680165353363,2.053680165353363
184,M,COSAFA Cup,2015-2018,Plan01,2.5272840842507223,15.217391304347828,43.47826086956522,2.5272840842507223,2.5272840842507223,2.5272840842507223,2.5272840842507223,2.5272840842507223
176,W,Cyprus Cup,2015-2018,Plan01,2.6164831754160507,9.090909090909092,45.45454545454545,2.6164831754160507,2.6164831754160507,2.6164831754160507,2.6164831754160507,2.6164831754160507
174,W,CONCACAF Gold Cup qualification,2023-2026,Plan01,3.2424826332516252,6.321839080459771,64.9425287356322,3.2424826332516252,3.2424826332516252,3.2424826332516252,3.2424826332516252,3.2424826332516252
174,W,Algarve Cup,2015-2018,Plan01,2.464698682385219,18.39080459770115,57.47126436781609,2.464698682385219,2.464698682385219,2.464698682385219,2.464698682385219,2.464698682385219
170,M,AFC Asian Cup qualification,2015-2018,ExpA,2.466713954203014,9.411764705882353,60.0,2.530092465404459,2.466713954203014,2.466713954203014,2.466713954203014,2.466713954203014
156,M,CECAFA Cup,2011-2014,Plan01,2.034485343270966,15.384615384615385,51.28205128205128,2.034485343270966,2.034485343270966,2.034485343270966,2.053558283073926,2.034485343270966
152,W,COSAFA Championship,2019-2022,ExpA,3.1881961428354244,7.236842105263158,67.10526315789474,3.3926655242637467,3.1881961428354244,3.1881961428354244,3.1881961428354244,3.1881961428354244
146,M,CONIFA World Football Cup,2015-2018,Plan01,3.7370520389688844,2.73972602739726,52.054794520547944,3.7370520389688844,3.7370520389688844,3.7370520389688844,3.7370520389688844,3.7370520389688844
